observacionest,gastoenalimentosyt,ingresosemanalxt
1,52.25,258.29999
2,58.32,343.10001
3,81.790001,425
4,119.9,467.5
5,125.8,482.89999
6,100.46,487.70001
7,121.51,496.5
8,100.08,519.40002
9,127.75,543.29999
10,104.94,548.70001
11,107.48,564.59998
12,98.480003,588.29999
13,181.21001,591.29999
14,122.23,607.29999
15,129.57001,611.20001
16,92.839996,631
17,117.92,659.59998
18,82.129997,664
19,182.28,704.20001
20,139.13,704.79999
21,98.139999,719.79999
22,123.94,720
23,126.31,722.29999
24,146.47,722.29999
25,115.98,734.40002
26,207.23,742.5
27,119.8,747.70001
28,151.33,763.29999
29,169.50999,810.20001
30,108.03,818.5
31,168.89999,825.59998
32,227.11,833.29999
33,84.940002,834
34,98.699997,918.09998
35,141.06,918.09998
36,215.39999,929.59998
37,112.89,951.70001
38,166.25,1014
39,115.43,1141.3
40,269.03,1154.6
