price,crime,nox,rooms,dist,radial,proptax,stratio,lowstat,lprice,lnox,lproptax
24000,.0060000001,5.3800001,6.5700002,4.0900002,1,29.6,15.3,4.98,10.085809,1.6826884,5.6903596
21599,.027000001,4.6900001,6.4200001,4.9699998,2,24.200001,17.799999,9.1400003,9.980402,1.5454326,5.4889379
34700,.027000001,4.6900001,7.1799998,4.9699998,2,24.200001,17.799999,4.0300002,10.454495,1.5454326,5.4889379
33400,.032000002,4.5799999,7,6.0599999,3,22.200001,18.700001,2.9400001,10.416311,1.521699,5.4026775
36199,.068999998,4.5799999,7.1500001,6.0599999,3,22.200001,18.700001,5.3299999,10.496787,1.521699,5.4026775
28701,.029999999,4.5799999,6.4299998,6.0599999,3,22.200001,18.700001,5.21,10.264688,1.521699,5.4026775
22900,.088,5.2399998,6.0100002,5.5599999,5,31.1,15.2,12.43,10.038892,1.6563214,5.7397928
27100,.145,5.2399998,6.1700001,5.9499998,5,31.1,15.2,19.15,10.207289,1.6563214,5.7397928
16500,.211,5.2399998,5.6300001,6.0799999,5,31.1,15.2,29.93,9.7111158,1.6563214,5.7397928
18900,.17,5.2399998,6,6.5900002,5,31.1,15.2,17.1,9.8469172,1.6563214,5.7397928
15000,.22499999,5.2399998,6.3800001,6.3499999,5,31.1,15.2,20.450001,9.6158056,1.6563214,5.7397928
18900,.117,5.2399998,6.0100002,6.23,5,31.1,15.2,13.27,9.8469172,1.6563214,5.7397928
21700,.093999997,5.2399998,5.8899999,5.4499998,5,31.1,15.2,15.71,9.9850674,1.6563214,5.7397928
20400,.63,5.3800001,5.9499998,4.71,4,30.700001,21,8.2600002,9.9232903,1.6826884,5.7268476
18200,.63800001,5.3800001,6.0999999,4.46,4,30.700001,21,10.26,9.8091764,1.6826884,5.7268476
19900,.62699997,5.3800001,5.8299999,4.5,4,30.700001,21,8.4700003,9.8984747,1.6826884,5.7268476
23100,1.054,5.3800001,5.9299998,4.5,4,30.700001,21,6.5799999,10.047588,1.6826884,5.7268476
17500,.78399998,5.3800001,5.9899998,4.2600002,4,30.700001,21,14.67,9.7699566,1.6826884,5.7268476
20200,.80299997,5.3800001,5.46,3.8,4,30.700001,21,11.69,9.9134378,1.6826884,5.7268476
18200,.72600001,5.3800001,5.73,3.8,4,30.700001,21,11.28,9.8091764,1.6826884,5.7268476
13600,1.252,5.3800001,5.5700002,3.8,4,30.700001,21,21.02,9.5178251,1.6826884,5.7268476
19600,.852,5.3800001,5.96,4.0100002,4,30.700001,21,13.83,9.8832846,1.6826884,5.7268476
15200,1.232,5.3800001,6.1399999,3.98,4,30.700001,21,18.719999,9.6290503,1.6826884,5.7268476
14500,.98799998,5.3800001,5.8099999,4.0999999,4,30.700001,21,19.879999,9.5819035,1.6826884,5.7268476
15600,.75,5.3800001,5.9200001,4.4000001,4,30.700001,21,16.299999,9.6550264,1.6826884,5.7268476
13900,.84100002,5.3800001,5.5999999,4.4499998,4,30.700001,21,16.51,9.5396442,1.6826884,5.7268476
16600,.67199999,5.3800001,5.8099999,4.6799998,4,30.700001,21,14.81,9.7171583,1.6826884,5.7268476
14800,.95599997,5.3800001,6.0500002,4.4499998,4,30.700001,21,17.280001,9.6023827,1.6826884,5.7268476
18400,.773,5.3800001,6.4899998,4.4499998,4,30.700001,21,12.8,9.8201056,1.6826884,5.7268476
21000,1.002,5.3800001,6.6700001,4.23,4,30.700001,21,11.98,9.9522781,1.6826884,5.7268476
12700,1.131,5.3800001,5.6900001,4.23,4,30.700001,21,22.6,9.449357,1.6826884,5.7268476
14500,1.355,5.3800001,6.0700002,4.1700001,4,30.700001,21,13.04,9.5819035,1.6826884,5.7268476
13200,1.388,5.3800001,5.9499998,3.99,4,30.700001,21,27.709999,9.4879723,1.6826884,5.7268476
